"","","m_true_new"
"1",-2,0
"2",-1.99,0
"3",-1.98,0
"4",-1.97,0
"5",-1.96,0
"6",-1.95,0
"7",-1.94,0
"8",-1.93,0
"9",-1.92,0
"10",-1.91,0
"11",-1.9,0
"12",-1.89,0
"13",-1.88,0
"14",-1.87,0
"15",-1.86,0
"16",-1.85,0
"17",-1.84,0
"18",-1.83,0
"19",-1.82,0
"20",-1.81,0
"21",-1.8,0
"22",-1.79,0
"23",-1.78,0
"24",-1.77,0
"25",-1.76,0
"26",-1.75,0
"27",-1.74,0
"28",-1.73,0
"29",-1.72,0
"30",-1.71,0
"31",-1.7,0
"32",-1.69,0
"33",-1.68,0
"34",-1.67,0
"35",-1.66,0
"36",-1.65,0
"37",-1.64,0
"38",-1.63,0
"39",-1.62,0
"40",-1.61,0
"41",-1.6,0
"42",-1.59,0
"43",-1.58,0
"44",-1.57,0
"45",-1.56,0
"46",-1.55,0
"47",-1.54,0
"48",-1.53,0
"49",-1.52,0
"50",-1.51,0
"51",-1.5,0
"52",-1.49,0
"53",-1.48,0
"54",-1.47,0
"55",-1.46,0
"56",-1.45,0
"57",-1.44,0
"58",-1.43,0
"59",-1.42,0
"60",-1.41,0
"61",-1.4,0
"62",-1.39,0
"63",-1.38,0
"64",-1.37,0
"65",-1.36,0
"66",-1.35,0
"67",-1.34,0
"68",-1.33,0
"69",-1.32,0
"70",-1.31,0
"71",-1.3,0
"72",-1.29,0
"73",-1.28,0
"74",-1.27,0
"75",-1.26,0
"76",-1.25,0
"77",-1.24,0
"78",-1.23,0
"79",-1.22,0
"80",-1.21,0
"81",-1.2,0
"82",-1.19,0
"83",-1.18,0
"84",-1.17,0
"85",-1.16,0
"86",-1.15,0
"87",-1.14,0
"88",-1.13,0
"89",-1.12,0
"90",-1.11,0
"91",-1.1,0
"92",-1.09,0
"93",-1.08,0
"94",-1.07,0
"95",-1.06,0
"96",-1.05,0
"97",-1.04,0
"98",-1.03,0
"99",-1.02,0
"100",-1.01,0
"101",-1,0
"102",-0.99,0
"103",-0.98,0
"104",-0.97,0
"105",-0.96,0
"106",-0.95,0
"107",-0.94,0
"108",-0.93,0
"109",-0.92,0
"110",-0.91,0
"111",-0.9,0
"112",-0.89,0
"113",-0.88,0
